Location,TCFDCategoryName,TCFDSubCatName,RiskFactorName,ScenarioName,RiskYear,ValueAtRisk,ParentCorpID,LocationID
MU,  Transition Risk,Policy and Legal,Carbon pricing ,RCP8.5,2010,2.36448,1
SUM,  Opportunity,Energy Source,Renewable price stability ,RCP8.5,2070,27.3477,19
SUM,  Opportunity,Energy Source,Renewable price stability ,RCP8.5,2080,42.7713,19
SUM,  Opportunity,Energy Source,Renewable price stability ,RCP8.5,2090,43.8515,19
SUM,  Transition Risk,Market,Reputation damage ,RCP8.5,2010,1.58139,19
SUM,  Transition Risk,Market,Reputation damage ,RCP8.5,2020,1.09096,19
SUM,  Transition Risk,Market,Reputation damage ,RCP8.5,2030,7.31577,19
SUM,  Transition Risk,Market,Reputation damage ,RCP8.5,2040,16.2745,19
SUM,  Transition Risk,Market,Reputation damage ,RCP8.5,2050,18.6858,19
SUM,  Transition Risk,Market,Reputation damage ,RCP8.5,2060,25.5368,19
SUM,  Transition Risk,Market,Reputation damage ,RCP8.5,2070,45.5795,19
SUM,  Transition Risk,Market,Reputation damage ,RCP8.5,2080,71.2856,19
SUM,  Transition Risk,Market,Reputation damage ,RCP8.5,2090,73.0859,19
SUM,  Physical Risk,Acute,Storm damage ,RCP8.5,2010,22.1394,19
SUM,  Physical Risk,Acute,Storm damage ,RCP8.5,2020,15.2735,19
SUM,  Physical Risk,Acute,Storm damage ,RCP8.5,2030,102.421,19
SUM,  Physical Risk,Acute,Storm damage ,RCP8.5,2040,227.843,19
SUM,  Physical Risk,Acute,Storm damage ,RCP8.5,2050,261.602,19
SUM,  Physical Risk,Acute,Storm damage ,RCP8.5,2060,357.515,19
SUM,  Physical Risk,Acute,Storm damage ,RCP8.5,2070,638.113,19
SUM,  Physical Risk,Acute,Storm damage ,RCP8.5,2080,997.997,19
SUM,  Physical Risk,Acute,Storm damage ,RCP8.5,2090,1023.2,19
SUM,  Physical Risk,Chronic,Temperature extremes ,RCP8.5,2010,31.6277,19
SUM,  Physical Risk,Chronic,Temperature extremes ,RCP8.5,2020,21.8193,19
SUM,  Physical Risk,Chronic,Temperature extremes ,RCP8.5,2030,146.315,19
SUM,  Physical Risk,Chronic,Temperature extremes ,RCP8.5,2040,325.49,19
SUM,  Physical Risk,Chronic,Temperature extremes ,RCP8.5,2050,373.717,19
SUM,  Physical Risk,Chronic,Temperature extremes ,RCP8.5,2060,510.736,19
SUM,  Physical Risk,Chronic,Temperature extremes ,RCP8.5,2070,911.59,19
SUM,  Physical Risk,Chronic,Temperature extremes ,RCP8.5,2080,1425.71,19
SUM,  Physical Risk,Chronic,Temperature extremes ,RCP8.5,2090,1461.72,19
SUM,  Opportunity,Resource Efficiency,Water Efficiency ,RCP8.5,2010,5.69299,19
SUM,  Opportunity,Resource Efficiency,Water Efficiency ,RCP8.5,2020,3.92747,19
SUM,  Opportunity,Resource Efficiency,Water Efficiency ,RCP8.5,2030,26.3368,19
SUM,  Opportunity,Resource Efficiency,Water Efficiency ,RCP8.5,2040,58.5882,19
SUM,  Opportunity,Resource Efficiency,Water Efficiency ,RCP8.5,2050,67.269,19
SUM,  Opportunity,Resource Efficiency,Water Efficiency ,RCP8.5,2060,91.9326,19
SUM,  Opportunity,Resource Efficiency,Water Efficiency ,RCP8.5,2070,164.086,19
SUM,  Opportunity,Resource Efficiency,Water Efficiency ,RCP8.5,2080,256.628,19
SUM,  Opportunity,Resource Efficiency,Water Efficiency ,RCP8.5,2090,263.109,19
IDA,  Transition Risk,Policy and Legal,Carbon pricing ,RCP8.5,2010,5.4186,2
IDA,  Transition Risk,Policy and Legal,Carbon pricing ,RCP8.5,2020,34.2782,2
IDA,  Transition Risk,Policy and Legal,Carbon pricing ,RCP8.5,2030,43.6876,2
IDA,  Transition Risk,Policy and Legal,Carbon pricing ,RCP8.5,2040,43.8922,2
IDA,  Transition Risk,Policy and Legal,Carbon pricing ,RCP8.5,2050,62.8936,2
IDA,  Transition Risk,Policy and Legal,Carbon pricing ,RCP8.5,2060,62.8936,2
IDA,  Transition Risk,Policy and Legal,Carbon pricing ,RCP8.5,2070,90.3144,2
IDA,  Transition Risk,Policy and Legal,Carbon pricing ,RCP8.5,2080,126.471,2
IDA,  Transition Risk,Policy and Legal,Carbon pricing ,RCP8.5,2090,151.215,2
IDA,  Physical Risk,Chronic,Coastal flooding ,RCP8.5,2010,0,2
IDA,  Physical Risk,Chronic,Coastal flooding ,RCP8.5,2020,0,2
IDA,  Physical Risk,Chronic,Coastal flooding ,RCP8.5,2030,0,2
IDA,  Physical Risk,Chronic,Coastal flooding ,RCP8.5,2040,0,2
IDA,  Physical Risk,Chronic,Coastal flooding ,RCP8.5,2050,0,2
IDA,  Physical Risk,Chronic,Coastal flooding ,RCP8.5,2060,0,2
IDA,  Physical Risk,Chronic,Coastal flooding ,RCP8.5,2070,0,2
IDA,  Physical Risk,Chronic,Coastal flooding ,RCP8.5,2080,0,2
IDA,  Physical Risk,Chronic,Coastal flooding ,RCP8.5,2090,0,2
IDA,  Physical Risk,Chronic,Drought ,RCP8.5,2010,643.5,2
IDA,  Physical Risk,Chronic,Drought ,RCP8.5,2020,0,2
IDA,  Physical Risk,Chronic,Drought ,RCP8.5,2030,99,2
IDA,  Physical Risk,Chronic,Drought ,RCP8.5,2040,774,2
IDA,  Physical Risk,Chronic,Drought ,RCP8.5,2050,666,2
IDA,  Physical Risk,Chronic,Drought ,RCP8.5,2060,756,2
IDA,  Physical Risk,Chronic,Drought ,RCP8.5,2070,972,2
IDA,  Physical Risk,Chronic,Drought ,RCP8.5,2080,954,2
IDA,  Physical Risk,Chronic,Drought ,RCP8.5,2090,945,2
IDA,  Physical Risk,Acute,Employee impacts ,RCP8.5,2010,0,2
IDA,  Physical Risk,Acute,Employee impacts ,RCP8.5,2020,0,2
IDA,  Physical Risk,Acute,Employee impacts ,RCP8.5,2030,2.6655,2
IDA,  Physical Risk,Acute,Employee impacts ,RCP8.5,2040,2.57582,2
IDA,  Physical Risk,Acute,Employee impacts ,RCP8.5,2050,1.64744,2
IDA,  Physical Risk,Acute,Employee impacts ,RCP8.5,2060,5.87728,2
IDA,  Physical Risk,Acute,Employee impacts ,RCP8.5,2070,9.19328,2
IDA,  Physical Risk,Acute,Employee impacts ,RCP8.5,2080,18.3441,2
IDA,  Physical Risk,Acute,Employee impacts ,RCP8.5,2090,25.7947,2
IDA,  Opportunity,Resource Efficiency,Energy Efficiency ,RCP8.5,2010,0,2
IDA,  Opportunity,Resource Efficiency,Energy Efficiency ,RCP8.5,2020,0,2
IDA,  Opportunity,Resource Efficiency,Energy Efficiency ,RCP8.5,2030,7.108,2
IDA,  Opportunity,Resource Efficiency,Energy Efficiency ,RCP8.5,2040,6.86885,2
IDA,  Opportunity,Resource Efficiency,Energy Efficiency ,RCP8.5,2050,4.39317,2
IDA,  Opportunity,Resource Efficiency,Energy Efficiency ,RCP8.5,2060,15.6727,2
IDA,  Opportunity,Resource Efficiency,Energy Efficiency ,RCP8.5,2070,24.5154,2
IDA,  Opportunity,Resource Efficiency,Energy Efficiency ,RCP8.5,2080,48.9177,2
IDA,  Opportunity,Resource Efficiency,Energy Efficiency ,RCP8.5,2090,68.7857,2
IDA,  Opportunity,Resilience,Energy resilience ,RCP8.5,2010,0,2
IDA,  Opportunity,Resilience,Energy resilience ,RCP8.5,2020,0,2
IDA,  Opportunity,Resilience,Energy resilience ,RCP8.5,2030,6.66375,2
IDA,  Opportunity,Resilience,Energy resilience ,RCP8.5,2040,6.43955,2
IDA,  Opportunity,Resilience,Energy resilience ,RCP8.5,2050,4.11859,2
IDA,  Opportunity,Resilience,Energy resilience ,RCP8.5,2060,14.6932,2
IDA,  Opportunity,Resilience,Energy resilience ,RCP8.5,2070,22.9832,2
IDA,  Opportunity,Resilience,Energy resilience ,RCP8.5,2080,45.8604,2
IDA,  Opportunity,Resilience,Energy resilience ,RCP8.5,2090,64.4866,2
IDA,  Transition Risk,Policy and Legal,Litigation risk ,RCP8.5,2010,0,2
IDA,  Transition Risk,Policy and Legal,Litigation risk ,RCP8.5,2020,0,2
IDA,  Transition Risk,Policy and Legal,Litigation risk ,RCP8.5,2030,3.554,2
IDA,  Transition Risk,Policy and Legal,Litigation risk ,RCP8.5,2040,3.43442,2
IDA,  Transition Risk,Policy and Legal,Litigation risk ,RCP8.5,2050,2.19658,2
IDA,  Transition Risk,Policy and Legal,Litigation risk ,RCP8.5,2060,7.83637,2
IDA,  Transition Risk,Policy and Legal,Litigation risk ,RCP8.5,2070,12.2577,2
IDA,  Transition Risk,Policy and Legal,Litigation risk ,RCP8.5,2080,24.4588,2
IDA,  Transition Risk,Policy and Legal,Litigation risk ,RCP8.5,2090,34.3928,2
IDA,  Opportunity,Resource Efficiency,Materials Efficiency ,RCP8.5,2010,0,2
IDA,  Opportunity,Resource Efficiency,Materials Efficiency ,RCP8.5,2020,0,2
IDA,  Opportunity,Resource Efficiency,Materials Efficiency ,RCP8.5,2030,5.331,2
IDA,  Opportunity,Resource Efficiency,Materials Efficiency ,RCP8.5,2040,5.15164,2
IDA,  Opportunity,Resource Efficiency,Materials Efficiency ,RCP8.5,2050,3.29488,2
IDA,  Opportunity,Resource Efficiency,Materials Efficiency ,RCP8.5,2060,11.7546,2
IDA,  Opportunity,Resource Efficiency,Materials Efficiency ,RCP8.5,2070,18.3866,2
IDA,  Opportunity,Resource Efficiency,Materials Efficiency ,RCP8.5,2080,36.6883,2
IDA,  Opportunity,Resource Efficiency,Materials Efficiency ,RCP8.5,2090,51.5893,2
IDA,  Transition Risk,Reputation,Materials cost ,RCP8.5,2010,0,2
IDA,  Transition Risk,Reputation,Materials cost ,RCP8.5,2020,0,2
IDA,  Transition Risk,Reputation,Materials cost ,RCP8.5,2030,4.4425,2
IDA,  Transition Risk,Reputation,Materials cost ,RCP8.5,2040,4.29303,2
IDA,  Transition Risk,Reputation,Materials cost ,RCP8.5,2050,2.74573,2
IDA,  Transition Risk,Reputation,Materials cost ,RCP8.5,2060,9.79546,2
IDA,  Transition Risk,Reputation,Materials cost ,RCP8.5,2070,15.3221,2
IDA,  Transition Risk,Reputation,Materials cost ,RCP8.5,2080,30.5735,2
IDA,  Transition Risk,Reputation,Materials cost ,RCP8.5,2090,42.9911,2
IDA,  Transition Risk,Technology,New technology ,RCP8.5,2010,0,2
IDA,  Transition Risk,Technology,New technology ,RCP8.5,2020,0,2
IDA,  Transition Risk,Technology,New technology ,RCP8.5,2030,3.10975,2
IDA,  Transition Risk,Technology,New technology ,RCP8.5,2040,3.00512,2
IDA,  Transition Risk,Technology,New technology ,RCP8.5,2050,1.92201,2
IDA,  Transition Risk,Technology,New technology ,RCP8.5,2060,6.85682,2
IDA,  Transition Risk,Technology,New technology ,RCP8.5,2070,10.7255,2
IDA,  Transition Risk,Technology,New technology ,RCP8.5,2080,21.4015,2
IDA,  Transition Risk,Technology,New technology ,RCP8.5,2090,30.0938,2
IDA,  Opportunity,Energy Source,Renewable price stability ,RCP8.5,2010,0,2
IDA,  Opportunity,Energy Source,Renewable price stability ,RCP8.5,2020,0,2
IDA,  Opportunity,Energy Source,Renewable price stability ,RCP8.5,2030,1.33275,2
IDA,  Opportunity,Energy Source,Renewable price stability ,RCP8.5,2040,1.28791,2
IDA,  Opportunity,Energy Source,Renewable price stability ,RCP8.5,2050,0.823719,2
IDA,  Opportunity,Energy Source,Renewable price stability ,RCP8.5,2060,2.93864,2
IDA,  Opportunity,Energy Source,Renewable price stability ,RCP8.5,2070,4.59664,2
IDA,  Opportunity,Energy Source,Renewable price stability ,RCP8.5,2080,9.17206,2
IDA,  Opportunity,Energy Source,Renewable price stability ,RCP8.5,2090,12.8973,2
IDA,  Transition Risk,Market,Reputation damage ,RCP8.5,2010,0,2
IDA,  Transition Risk,Market,Reputation damage ,RCP8.5,2020,0,2
IDA,  Transition Risk,Market,Reputation damage ,RCP8.5,2030,2.22125,2
IDA,  Transition Risk,Market,Reputation damage ,RCP8.5,2040,2.14651,2
IDA,  Transition Risk,Market,Reputation damage ,RCP8.5,2050,1.37287,2
IDA,  Transition Risk,Market,Reputation damage ,RCP8.5,2060,4.89773,2
IDA,  Transition Risk,Market,Reputation damage ,RCP8.5,2070,7.66107,2
IDA,  Transition Risk,Market,Reputation damage ,RCP8.5,2080,15.2868,2
IDA,  Transition Risk,Market,Reputation damage ,RCP8.5,2090,21.4956,2
IDA,  Physical Risk,Acute,Storm damage ,RCP8.5,2010,0,2
IDA,  Physical Risk,Acute,Storm damage ,RCP8.5,2020,0,2
IDA,  Physical Risk,Acute,Storm damage ,RCP8.5,2030,31.0975,2
IDA,  Physical Risk,Acute,Storm damage ,RCP8.5,2040,30.0512,2
IDA,  Physical Risk,Acute,Storm damage ,RCP8.5,2050,19.2201,2
IDA,  Physical Risk,Acute,Storm damage ,RCP8.5,2060,68.5682,2
IDA,  Physical Risk,Acute,Storm damage ,RCP8.5,2070,107.255,2
IDA,  Physical Risk,Acute,Storm damage ,RCP8.5,2080,214.015,2
IDA,  Physical Risk,Acute,Storm damage ,RCP8.5,2090,300.937,2
IDA,  Physical Risk,Chronic,Temperature extremes ,RCP8.5,2010,0,2
IDA,  Physical Risk,Chronic,Temperature extremes ,RCP8.5,2020,0,2
IDA,  Physical Risk,Chronic,Temperature extremes ,RCP8.5,2030,44.425,2
IDA,  Physical Risk,Chronic,Temperature extremes ,RCP8.5,2040,42.9303,2
IDA,  Physical Risk,Chronic,Temperature extremes ,RCP8.5,2050,27.4573,2
IDA,  Physical Risk,Chronic,Temperature extremes ,RCP8.5,2060,97.9546,2
IDA,  Physical Risk,Chronic,Temperature extremes ,RCP8.5,2070,153.221,2
IDA,  Physical Risk,Chronic,Temperature extremes ,RCP8.5,2080,305.736,2
IDA,  Physical Risk,Chronic,Temperature extremes ,RCP8.5,2090,429.911,2
IDA,  Opportunity,Resource Efficiency,Water Efficiency ,RCP8.5,2010,0,2
IDA,  Opportunity,Resource Efficiency,Water Efficiency ,RCP8.5,2020,0,2
IDA,  Opportunity,Resource Efficiency,Water Efficiency ,RCP8.5,2030,7.9965,2
IDA,  Opportunity,Resource Efficiency,Water Efficiency ,RCP8.5,2040,7.72745,2
IDA,  Opportunity,Resource Efficiency,Water Efficiency ,RCP8.5,2050,4.94231,2
IDA,  Opportunity,Resource Efficiency,Water Efficiency ,RCP8.5,2060,17.6318,2
IDA,  Opportunity,Resource Efficiency,Water Efficiency ,RCP8.5,2070,27.5799,2
IDA,  Opportunity,Resource Efficiency,Water Efficiency ,RCP8.5,2080,55.0324,2
IDA,  Opportunity,Resource Efficiency,Water Efficiency ,RCP8.5,2090,77.3839,2
SCHW,  Transition Risk,Policy and Legal,Carbon pricing ,RCP8.5,2010,1.9704,20
SCHW,  Transition Risk,Policy and Legal,Carbon pricing ,RCP8.5,2020,12.4648,20
SCHW,  Transition Risk,Policy and Legal,Carbon pricing ,RCP8.5,2030,15.8864,20
SCHW,  Transition Risk,Policy and Legal,Carbon pricing ,RCP8.5,2040,15.9608,20
SCHW,  Transition Risk,Policy and Legal,Carbon pricing ,RCP8.5,2050,22.8704,20
SCHW,  Transition Risk,Policy and Legal,Carbon pricing ,RCP8.5,2060,22.8704,20
SCHW,  Transition Risk,Policy and Legal,Carbon pricing ,RCP8.5,2070,32.8416,20
SCHW,  Transition Risk,Policy and Legal,Carbon pricing ,RCP8.5,2080,45.9896,20
SCHW,  Transition Risk,Policy and Legal,Carbon pricing ,RCP8.5,2090,54.9872,20
SCHW,  Physical Risk,Chronic,Coastal flooding ,RCP8.5,2010,0.4008,20
SCHW,  Physical Risk,Chronic,Coastal flooding ,RCP8.5,2020,2.23888,20
SCHW,  Physical Risk,Chronic,Coastal flooding ,RCP8.5,2030,7.47952,20
SCHW,  Physical Risk,Chronic,Coastal flooding ,RCP8.5,2040,35.9313,20
SCHW,  Physical Risk,Chronic,Coastal flooding ,RCP8.5,2050,80,20
SCHW,  Physical Risk,Chronic,Coastal flooding ,RCP8.5,2060,80,20
SCHW,  Physical Risk,Chronic,Coastal flooding ,RCP8.5,2070,80,20
SCHW,  Physical Risk,Chronic,Coastal flooding ,RCP8.5,2080,80,20
SCHW,  Physical Risk,Chronic,Coastal flooding ,RCP8.5,2090,80,20
SCHW,  Physical Risk,Chronic,Drought ,RCP8.5,2010,18,20
SCHW,  Physical Risk,Chronic,Drought ,RCP8.5,2020,9,20
SCHW,  Physical Risk,Chronic,Drought ,RCP8.5,2030,40.5,20
SCHW,  Physical Risk,Chronic,Drought ,RCP8.5,2040,9,20
SCHW,  Physical Risk,Chronic,Drought ,RCP8.5,2050,40.5,20
SCHW,  Physical Risk,Chronic,Drought ,RCP8.5,2060,63,20
SCHW,  Physical Risk,Chronic,Drought ,RCP8.5,2070,85.5,20
SCHW,  Physical Risk,Chronic,Drought ,RCP8.5,2080,49.5,20
SCHW,  Physical Risk,Chronic,Drought ,RCP8.5,2090,94.5,20
SCHW,  Physical Risk,Acute,Employee impacts ,RCP8.5,2010,0.015738,20
SCHW,  Physical Risk,Acute,Employee impacts ,RCP8.5,2020,0.209556,20
SCHW,  Physical Risk,Acute,Employee impacts ,RCP8.5,2030,2.17998,20
SCHW,  Physical Risk,Acute,Employee impacts ,RCP8.5,2040,3.8706,20
SCHW,  Physical Risk,Acute,Employee impacts ,RCP8.5,2050,3.74866,20
SCHW,  Physical Risk,Acute,Employee impacts ,RCP8.5,2060,6.24406,20
SCHW,  Physical Risk,Acute,Employee impacts ,RCP8.5,2070,10.2339,20
SCHW,  Physical Risk,Acute,Employee impacts ,RCP8.5,2080,15.7409,20
SCHW,  Physical Risk,Acute,Employee impacts ,RCP8.5,2090,19.7565,20
SCHW,  Opportunity,Resource Efficiency,Energy Efficiency ,RCP8.5,2010,0.041968,20
SCHW,  Opportunity,Resource Efficiency,Energy Efficiency ,RCP8.5,2020,0.558816,20
SCHW,  Opportunity,Resource Efficiency,Energy Efficiency ,RCP8.5,2030,5.81328,20
SCHW,  Opportunity,Resource Efficiency,Energy Efficiency ,RCP8.5,2040,10.3216,20
SCHW,  Opportunity,Resource Efficiency,Energy Efficiency ,RCP8.5,2050,9.99644,20
SCHW,  Opportunity,Resource Efficiency,Energy Efficiency ,RCP8.5,2060,16.6508,20
SCHW,  Opportunity,Resource Efficiency,Energy Efficiency ,RCP8.5,2070,27.2903,20
SCHW,  Opportunity,Resource Efficiency,Energy Efficiency ,RCP8.5,2080,41.9758,20
SCHW,  Opportunity,Resource Efficiency,Energy Efficiency ,RCP8.5,2090,52.684,20
SCHW,  Opportunity,Resilience,Energy resilience ,RCP8.5,2010,0.039345,20
SCHW,  Opportunity,Resilience,Energy resilience ,RCP8.5,2020,0.52389,20
SCHW,  Opportunity,Resilience,Energy resilience ,RCP8.5,2030,5.44996,20
SCHW,  Opportunity,Resilience,Energy resilience ,RCP8.5,2040,9.67648,20
SCHW,  Opportunity,Resilience,Energy resilience ,RCP8.5,2050,9.37165,20
SCHW,  Opportunity,Resilience,Energy resilience ,RCP8.5,2060,15.6101,20
SCHW,  Opportunity,Resilience,Energy resilience ,RCP8.5,2070,25.5847,20
SCHW,  Opportunity,Resilience,Energy resilience ,RCP8.5,2080,39.3523,20
SCHW,  Opportunity,Resilience,Energy resilience ,RCP8.5,2090,49.3912,20
SCHW,  Transition Risk,Policy and Legal,Litigation risk ,RCP8.5,2010,0.020984,20
SCHW,  Transition Risk,Policy and Legal,Litigation risk ,RCP8.5,2020,0.279408,20
SCHW,  Transition Risk,Policy and Legal,Litigation risk ,RCP8.5,2030,2.90664,20
SCHW,  Transition Risk,Policy and Legal,Litigation risk ,RCP8.5,2040,5.1608,20
SCHW,  Transition Risk,Policy and Legal,Litigation risk ,RCP8.5,2050,4.99822,20
SCHW,  Transition Risk,Policy and Legal,Litigation risk ,RCP8.5,2060,8.32541,20
SCHW,  Transition Risk,Policy and Legal,Litigation risk ,RCP8.5,2070,13.6452,20
SCHW,  Transition Risk,Policy and Legal,Litigation risk ,RCP8.5,2080,20.9879,20
SCHW,  Transition Risk,Policy and Legal,Litigation risk ,RCP8.5,2090,26.342,20
SCHW,  Opportunity,Resource Efficiency,Materials Efficiency ,RCP8.5,2010,0.031476,20
SCHW,  Opportunity,Resource Efficiency,Materials Efficiency ,RCP8.5,2020,0.419112,20
SCHW,  Opportunity,Resource Efficiency,Materials Efficiency ,RCP8.5,2030,4.35996,20
SCHW,  Opportunity,Resource Efficiency,Materials Efficiency ,RCP8.5,2040,7.74121,20
SCHW,  Opportunity,Resource Efficiency,Materials Efficiency ,RCP8.5,2050,7.49734,20
SCHW,  Opportunity,Resource Efficiency,Materials Efficiency ,RCP8.5,2060,12.4881,20
SCHW,  Opportunity,Resource Efficiency,Materials Efficiency ,RCP8.5,2070,20.4677,20
SCHW,  Opportunity,Resource Efficiency,Materials Efficiency ,RCP8.5,2080,31.4819,20
SCHW,  Opportunity,Resource Efficiency,Materials Efficiency ,RCP8.5,2090,39.513,20
SCHW,  Transition Risk,Reputation,Materials cost ,RCP8.5,2010,0.02623,20
SCHW,  Transition Risk,Reputation,Materials cost ,RCP8.5,2020,0.34926,20
SCHW,  Transition Risk,Reputation,Materials cost ,RCP8.5,2030,3.6333,20
SCHW,  Transition Risk,Reputation,Materials cost ,RCP8.5,2040,6.451,20
SCHW,  Transition Risk,Reputation,Materials cost ,RCP8.5,2050,6.24777,20
SCHW,  Transition Risk,Reputation,Materials cost ,RCP8.5,2060,10.4068,20
SCHW,  Transition Risk,Reputation,Materials cost ,RCP8.5,2070,17.0565,20
SCHW,  Transition Risk,Reputation,Materials cost ,RCP8.5,2080,26.2349,20
SCHW,  Transition Risk,Reputation,Materials cost ,RCP8.5,2090,32.9275,20
SCHW,  Transition Risk,Technology,New technology ,RCP8.5,2010,0.018361,20
SCHW,  Transition Risk,Technology,New technology ,RCP8.5,2020,0.244482,20
SCHW,  Transition Risk,Technology,New technology ,RCP8.5,2030,2.54331,20
SCHW,  Transition Risk,Technology,New technology ,RCP8.5,2040,4.5157,20
SCHW,  Transition Risk,Technology,New technology ,RCP8.5,2050,4.37344,20
SCHW,  Transition Risk,Technology,New technology ,RCP8.5,2060,7.28474,20
SCHW,  Transition Risk,Technology,New technology ,RCP8.5,2070,11.9395,20
SCHW,  Transition Risk,Technology,New technology ,RCP8.5,2080,18.3644,20
SCHW,  Transition Risk,Technology,New technology ,RCP8.5,2090,23.0493,20
SCHW,  Opportunity,Energy Source,Renewable price stability ,RCP8.5,2010,0.007869,20
SCHW,  Opportunity,Energy Source,Renewable price stability ,RCP8.5,2020,0.104778,20
SCHW,  Opportunity,Energy Source,Renewable price stability ,RCP8.5,2030,1.08999,20
SCHW,  Opportunity,Energy Source,Renewable price stability ,RCP8.5,2040,1.9353,20
SCHW,  Opportunity,Energy Source,Renewable price stability ,RCP8.5,2050,1.87433,20
SCHW,  Opportunity,Energy Source,Renewable price stability ,RCP8.5,2060,3.12203,20
SCHW,  Opportunity,Energy Source,Renewable price stability ,RCP8.5,2070,5.11694,20
SCHW,  Opportunity,Energy Source,Renewable price stability ,RCP8.5,2080,7.87045,20
SCHW,  Opportunity,Energy Source,Renewable price stability ,RCP8.5,2090,9.87824,20
SCHW,  Transition Risk,Market,Reputation damage ,RCP8.5,2010,0.013115,20
SCHW,  Transition Risk,Market,Reputation damage ,RCP8.5,2020,0.17463,20
SCHW,  Transition Risk,Market,Reputation damage ,RCP8.5,2030,1.81665,20
SCHW,  Transition Risk,Market,Reputation damage ,RCP8.5,2040,3.2255,20
SCHW,  Transition Risk,Market,Reputation damage ,RCP8.5,2050,3.12389,20
SCHW,  Transition Risk,Market,Reputation damage ,RCP8.5,2060,5.20338,20
SCHW,  Transition Risk,Market,Reputation damage ,RCP8.5,2070,8.52824,20
SCHW,  Transition Risk,Market,Reputation damage ,RCP8.5,2080,13.1174,20
SCHW,  Transition Risk,Market,Reputation damage ,RCP8.5,2090,16.4637,20
SCHW,  Physical Risk,Acute,Storm damage ,RCP8.5,2010,0.18361,20
SCHW,  Physical Risk,Acute,Storm damage ,RCP8.5,2020,2.44482,20
SCHW,  Physical Risk,Acute,Storm damage ,RCP8.5,2030,25.4331,20
SCHW,  Physical Risk,Acute,Storm damage ,RCP8.5,2040,45.157,20
SCHW,  Physical Risk,Acute,Storm damage ,RCP8.5,2050,43.7344,20
SCHW,  Physical Risk,Acute,Storm damage ,RCP8.5,2060,72.8474,20
SCHW,  Physical Risk,Acute,Storm damage ,RCP8.5,2070,119.395,20
SCHW,  Physical Risk,Acute,Storm damage ,RCP8.5,2080,183.644,20
SCHW,  Physical Risk,Acute,Storm damage ,RCP8.5,2090,230.492,20
SCHW,  Physical Risk,Chronic,Temperature extremes ,RCP8.5,2010,0.2623,20
SCHW,  Physical Risk,Chronic,Temperature extremes ,RCP8.5,2020,3.4926,20
SCHW,  Physical Risk,Chronic,Temperature extremes ,RCP8.5,2030,36.333,20
SCHW,  Physical Risk,Chronic,Temperature extremes ,RCP8.5,2040,64.51,20
SCHW,  Physical Risk,Chronic,Temperature extremes ,RCP8.5,2050,62.4777,20
SCHW,  Physical Risk,Chronic,Temperature extremes ,RCP8.5,2060,104.068,20
SCHW,  Physical Risk,Chronic,Temperature extremes ,RCP8.5,2070,170.565,20
SCHW,  Physical Risk,Chronic,Temperature extremes ,RCP8.5,2080,262.349,20
SCHW,  Physical Risk,Chronic,Temperature extremes ,RCP8.5,2090,329.275,20
SCHW,  Opportunity,Resource Efficiency,Water Efficiency ,RCP8.5,2010,0.047214,20
SCHW,  Opportunity,Resource Efficiency,Water Efficiency ,RCP8.5,2020,0.628668,20
SCHW,  Opportunity,Resource Efficiency,Water Efficiency ,RCP8.5,2030,6.53994,20
SCHW,  Opportunity,Resource Efficiency,Water Efficiency ,RCP8.5,2040,11.6118,20
SCHW,  Opportunity,Resource Efficiency,Water Efficiency ,RCP8.5,2050,11.246,20
SCHW,  Opportunity,Resource Efficiency,Water Efficiency ,RCP8.5,2060,18.7322,20
SCHW,  Opportunity,Resource Efficiency,Water Efficiency ,RCP8.5,2070,30.7016,20
SCHW,  Opportunity,Resource Efficiency,Water Efficiency ,RCP8.5,2080,47.2228,20
SCHW,  Opportunity,Resource Efficiency,Water Efficiency ,RCP8.5,2090,59.2696,20
EGRX,  Transition Risk,Policy and Legal,Carbon pricing ,RCP8.5,2010,0.9852,21
EGRX,  Transition Risk,Policy and Legal,Carbon pricing ,RCP8.5,2020,6.2324,21
EGRX,  Transition Risk,Policy and Legal,Carbon pricing ,RCP8.5,2030,7.9432,21
EGRX,  Transition Risk,Policy and Legal,Carbon pricing ,RCP8.5,2040,7.9804,21
EGRX,  Transition Risk,Policy and Legal,Carbon pricing ,RCP8.5,2050,11.4352,21
EGRX,  Transition Risk,Policy and Legal,Carbon pricing ,RCP8.5,2060,11.4352,21
EGRX,  Transition Risk,Policy and Legal,Carbon pricing ,RCP8.5,2070,16.4208,21
EGRX,  Transition Risk,Policy and Legal,Carbon pricing ,RCP8.5,2080,22.9948,21
EGRX,  Transition Risk,Policy and Legal,Carbon pricing ,RCP8.5,2090,27.4936,21
EGRX,  Physical Risk,Chronic,Coastal flooding ,RCP8.5,2010,1.45672,21
EGRX,  Physical Risk,Chronic,Coastal flooding ,RCP8.5,2020,3.95592,21
EGRX,  Physical Risk,Chronic,Coastal flooding ,RCP8.5,2030,11.621,21
EGRX,  Physical Risk,Chronic,Coastal flooding ,RCP8.5,2040,39.6836,21
EGRX,  Physical Risk,Chronic,Coastal flooding ,RCP8.5,2050,80,21
EGRX,  Physical Risk,Chronic,Coastal flooding ,RCP8.5,2060,80,21
EGRX,  Physical Risk,Chronic,Coastal flooding ,RCP8.5,2070,80,21
EGRX,  Physical Risk,Chronic,Coastal flooding ,RCP8.5,2080,80,21
